username,comment
kepek_mabur,Ini baguss sihh keren pemandangan nya ya gak sih @sfr_la wkwk
primahermanto,@vebeeandyany Ayoooo gasss..
happshapist,@kikideva_ Monggo sek kemarin tanya2
yuliana_iin,kii lhoo @siscaherning
afiq5922,@umami_resa
kopijogjakarta,Nama tmpt nya apa ini min ğŸ˜
panduu_ak,Ehem @veraasttp
intanikarisa,@aufa_zain
ikahanilatifah,Adminnya pernah kesana belom sihğŸ˜‚
mirandaaap_,@putrir1_
ragami.tv,Siap merapat mas. Makasih info t4 nongkrong yg baru di Tanjung harjo
ajiestagram,Udah lahhh
ingkarjanjikopi,Syahdu poll ğŸ˜
shidqia.ais,Sudah donggg â¤ï¸â¤ï¸â¤ï¸ğŸ”¥
arnandafrw_,@dindasg_ mau gaa??? Pan kapan
iwent_123,@susi_blenda ğŸ›µ
ami_marita,ğŸ˜ğŸ˜ğŸ˜ğŸ”¥
anggi_tya,"Puncak Saka, tanjung harjo, Nanggulan"
muhamadsidiqf,Mung duwur omah ğŸ˜‚
inunx_cute,Puncak saka ya?? ğŸ˜ğŸ˜
feliahani_22,@wawn_yk11
astari_vitta,@diadiadi07
astari_vitta,@krntt817
rusantipink,Cuzz ..bsk goleki
yunitanita97,@yudhiii_wahh
mboke_nena,Kuat ra kira2 ngonthel mpe sini? @koko.apriyawan @iin_feriawan
dinaaamarlinaa_,@diass.putra mantep
inunx_cute,Ayok spedaan tkanke keneh Te @apriapriel21
rinda.rosyida,Ingin @muhammadfendy_
kedaiotentik,Waaah harus dateng ini
anitariyanti13,MB nit @rusantipink ğŸ˜ğŸ˜ğŸ˜
hanifah.indi14,Cobain kuy @agus_adi_susanta
felisitasgabriella,@agustinahesti
windanurumiyati,@andrianihqq ikiii oii
lavatourmerapiofficial,Keren banget view-nya KakğŸ˜ Mari kak berpetualang seru di merapi bersama @lavatournerapiofficial Semoga sehat selalu ya kakğŸ™
lhinapramudhita,@habib_abdul_k
setiariniisnawati,@herie_azka_setiawan kesini kuy
adibharja,Anyar mneh. Sblh ndi ki @monalisavianm
facialgalvanicspajogjayogya,ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ˜
